Depth (m),qc (MPa)
9.54,8.5440
9.56,8.7330
9.58,9.1660
9.6,9.6530
9.62,9.8950
9.64,9.9770
9.66,9.9360
9.68,10.0140
9.7,10.1610
9.72,10.4700
9.74,10.4820
9.76,10.3590
9.78,10.0670
9.8,9.9500
9.82,9.9300
9.84,9.9930
9.86,10.0290
9.88,9.9760
9.9,9.9640
9.92,10.0240
9.94,10.0830
9.96,10.1450
9.98,10.1010
10,10.0000
10.02,9.8390
10.04,9.5990
10.06,9.5220
10.08,9.6130
10.1,9.8760
10.12,10.4240
10.14,10.6700
10.16,10.7740
10.18,10.6580
10.2,10.4120
10.22,10.2050
10.24,10.1580
10.26,10.2760
10.28,10.5580
10.3,10.8710
10.32,11.2100
10.34,12.1060
10.36,12.3980
10.38,12.3420
10.4,12.0480
10.42,11.4690
10.44,10.8370
10.46,10.4750
10.48,10.0080
10.5,9.8400
10.52,9.6760
10.54,9.6830
10.56,9.9270
10.58,10.6600
10.6,11.5990
10.62,12.4640
10.64,12.9680
10.66,13.2050
10.68,13.2910
10.7,12.9200
10.72,12.2530
10.74,11.5780
10.76,11.0580
10.78,11.0840
10.8,11.1690
10.82,1.4330
10.84,1.8540
10.86,2.1450
10.88,2.8100
10.9,3.3440
10.92,3.8650
10.94,4.4430
10.96,5.1340
10.98,5.4350
11,6.2630
11.02,7.0570
11.04,8.5790
11.06,9.2930
11.08,10.2100
11.1,10.5550
11.12,11.0270
11.14,11.5690
11.16,12.0850
11.18,12.4030
11.2,12.3420
11.22,12.3570
11.24,12.0860
11.26,11.6530
11.28,11.2030
11.3,11.1190
11.32,11.1700
11.34,11.6010
11.36,12.5860
11.38,13.1580
11.4,13.1710
11.42,13.1350
11.44,13.0260
11.46,12.8670
11.48,12.6250
11.5,12.5560
11.52,12.3040
11.54,11.9540
11.56,11.7330
11.58,11.4330
11.6,11.1800
11.62,10.9450
11.64,10.6770
11.66,10.4130
11.68,10.1780
11.7,10.0810
11.72,10.1460
11.74,10.2000
11.76,10.3570
11.78,10.3580
11.8,10.3470
11.82,10.2430
11.84,10.2520
11.86,10.3020
11.88,10.4520
11.9,10.8380
11.92,11.2830
11.94,11.5490
11.96,11.8010
11.98,12.0900
12,12.3490
12.02,12.5300
12.04,12.7980
12.06,12.6920
12.08,12.1390
12.1,11.3820
12.12,11.0590
12.14,10.7920
12.16,10.8220
12.18,10.9370
12.2,10.9170
12.22,10.7800
12.24,10.3990
12.26,10.1390
12.28,10.0690
12.3,10.4290
12.32,11.0340
12.34,11.3960
12.36,11.7040
12.38,11.7410
12.4,11.6900
12.42,11.6270
12.44,11.6430
12.46,11.7000
12.48,11.9090
12.5,12.4950
12.52,13.0060
12.54,13.2410
12.56,13.3890
12.58,13.4060
12.6,13.3590
12.62,13.1980
12.64,13.1250
12.66,13.1760
12.68,13.1420
12.7,12.8550
12.72,12.4270
12.74,11.6870
12.76,10.9460
12.78,10.4160
12.8,10.2090
12.82,10.3150
12.84,10.7730
12.86,11.2220
12.88,11.5420
12.9,11.5140
12.92,11.3680
12.94,11.1710
12.96,11.1500
12.98,11.0690
13,11.1540
13.02,11.3540
13.04,11.9630
13.06,13.3760
13.08,14.4330
13.1,15.2630
